#;Nazwa;Solo;Rankingowa elastyczna;Kolumna1;Kolumna2
71.;"Σατανας 
EUNE (#71)";Challenger 890 LPWygrane: 182 (56.7%);Diament IIIWygrane: 72 (43.9%);56.7%);56.7
72.;"BG Nelson 
EUNE (#72)";Challenger 883 LPWygrane: 350 (53.0%);Platyna IWygrane: 39 (45.9%);53.0%);53.0
73.;"ALTEEk 
EUNE (#73)";Challenger 881 LPWygrane: 317 (53.4%);Diament IIWygrane: 53 (53.0%);53.4%);53.4
74.;"Emperor Of Dèath 
EUNE (#74)";Challenger 877 LPWygrane: 199 (53.9%);Challenger 637 LPWygrane: 210 (60.3%);53.9%);53.9
75.;"its ok ure ok 
EUNE (#75)";Challenger 877 LPWygrane: 129 (60.8%);Platyna IVWygrane: 29 (82.9%);60.8%);60.8
76.;"Buu 
EUNE (#76)";Challenger 875 LPWygrane: 94 (59.9%);;9.9%);59.9
77.;"KataInDream 
EUNE (#77)";Challenger 873 LPWygrane: 70 (66.0%);;6.0%);66.0
78.;"Matixxx 
EUNE (#78)";Challenger 870 LPWygrane: 195 (54.2%);Złoto IWygrane: 9 (60.0%);54.2%);54.2
79.;"DrAponHipakos 
EUNE (#79)";Challenger 868 LPWygrane: 131 (59.3%);Złoto IWygrane: 21 (51.2%);59.3%);59.3
80.;"Yugen 
EUNE (#80)";Challenger 867 LPWygrane: 182 (54.0%);Master 52 LPWygrane: 47 (62.7%);54.0%);54.0
81.;"DafnisK 
EUNE (#81)";Challenger 867 LPWygrane: 141 (55.3%);Master 1 LPWygrane: 40 (54.8%);55.3%);55.3
82.;"lapai che kape 
EUNE (#82)";Challenger 866 LPWygrane: 134 (57.8%);Master 42 LPWygrane: 47 (67.1%);57.8%);57.8
83.;"Bufny 
EUNE (#83)";Challenger 865 LPWygrane: 286 (53.2%);Platyna IWygrane: 26 (55.3%);53.2%);53.2
84.;"cat connoisseur 
EUNE (#84)";Challenger 862 LPWygrane: 133 (58.3%);Platyna IWygrane: 14 (70.0%);58.3%);58.3
85.;"söpö kisu 
EUNE (#85)";Challenger 854 LPWygrane: 110 (53.4%);Złoto IWygrane: 9 (56.3%);53.4%);53.4
86.;"ΑΑΠΤΟΣ 
EUNE (#86)";Challenger 852 LPWygrane: 264 (53.2%);;53.2%);53.2
87.;"EXWHYPAREITRELE 
EUNE (#87)";Challenger 852 LPWygrane: 189 (55.9%);Platyna IVWygrane: 7 (50.0%);55.9%);55.9
88.;"Aureae 
EUNE (#88)";Challenger 852 LPWygrane: 132 (56.4%);Platyna IWygrane: 38 (53.5%);56.4%);56.4
89.;"Endometrium 
EUNE (#89)";Challenger 851 LPWygrane: 355 (55.8%);;55.8%);55.8
90.;"Szafer 
EUNE (#90)";Challenger 851 LPWygrane: 165 (53.7%);Diament IWygrane: 157 (47.7%);53.7%);53.7
91.;"coincidence 
EUNE (#91)";Challenger 850 LPWygrane: 228 (53.0%);Master 295 LPWygrane: 180 (56.1%);53.0%);53.0
92.;"ItsDab 
EUNE (#92)";Challenger 844 LPWygrane: 171 (57.2%);Platyna IWygrane: 27 (46.6%);57.2%);57.2
93.;"LeBronzeGraves 
EUNE (#93)";Challenger 842 LPWygrane: 211 (54.0%);Diament IIWygrane: 93 (57.4%);54.0%);54.0
94.;"nunu hentaí 
EUNE (#94)";Challenger 841 LPWygrane: 235 (52.8%);Diament IIWygrane: 33 (54.1%);52.8%);52.8
95.;"egdfer 
EUNE (#95)";Challenger 841 LPWygrane: 85 (63.4%);;3.4%);63.4
96.;"CiganinsBradva 
EUNE (#96)";Challenger 839 LPWygrane: 216 (52.8%);Srebro IIWygrane: 12 (41.4%);52.8%);52.8
97.;"kocic000 
EUNE (#97)";Challenger 839 LPWygrane: 206 (53.8%);Diament IWygrane: 83 (64.3%);53.8%);53.8
98.;"Babushka02 
EUNE (#98)";Challenger 837 LPWygrane: 120 (57.7%);Platyna IWygrane: 51 (50.5%);57.7%);57.7
99.;"Norox 
EUNE (#99)";Challenger 833 LPWygrane: 170 (54.1%);Diament IWygrane: 20 (51.3%);54.1%);54.1
100.;"going rank 
EUNE (#100)";Challenger 832 LPWygrane: 204 (55.1%);;55.1%);55.1
